draw,beta_event_0
1,8.637077040487022e-5
2,1.2001880008106954e-4
3,-0.001395008291832476
4,-7.756250076599696e-4
5,-6.355055807723571e-4
6,-4.350733420398382e-4
7,-0.0013342072921651792
8,-1.5673910557710352e-4
9,7.280632570433334e-4
10,0.0011073038264801487
11,-8.804907271125369e-4
12,4.2785720749056457e-4
13,-2.4120081822665815e-4
14,5.325798667133303e-4
15,2.1841712903644683e-4
16,6.865125300738156e-4
17,-5.314983001661011e-4
18,-1.241456682870876e-4
19,6.948568536395368e-4
20,-1.4454254820342542e-5
21,-8.070369500875381e-5
22,-2.310119754548622e-4
23,-9.432120499089323e-5
24,-4.64956651372115e-4
25,1.0273343405959215e-4
26,-7.432700680691735e-4
27,1.1505890157013048e-5
28,-0.0012299631542686314
29,7.489986125107973e-4
30,3.101977173310943e-4
31,-5.91723865830245e-4
32,2.8805842848820596e-5
33,-7.671223309800161e-4
34,-6.845921262501394e-4
35,0.0013684739924464747
36,-0.0015603068905221723
37,6.178648252768688e-4
38,2.3104291217733848e-4
39,-0.0010556778945697927
40,7.15684262003395e-4
41,1.3886995319059814e-4
42,-1.4290616414031564e-4
43,-8.428802986122916e-4
44,-1.3294810893626333e-4
45,-9.10547863795439e-4
46,-8.487171930903311e-5
47,0.0012080089870924974
48,1.8329312386774512e-4
49,0.0012932173009544852
50,4.2896129987700973e-4
51,9.57366400528605e-4
52,-1.762079781600838e-4
53,0.0014669798352649334
54,2.3312437115903016e-4
55,7.433632818379298e-5
56,-3.012744944782345e-4
57,-8.905062263181995e-4
58,4.1856829890750806e-5
59,5.752796157381501e-4
60,-0.0011343888305405802
61,2.539598540609485e-4
62,-4.269021425761122e-4
63,6.522616758349915e-4
64,0.001079991111402888
65,-0.0011206048784289527
66,1.2520948287275314e-4
67,1.6399089987650863e-4
68,1.5113308611648573e-4
69,3.838843518017539e-4
70,-7.091216149768043e-4
71,-2.704191346945343e-4
72,-6.318245995511169e-4
73,-1.1366763436144957e-4
74,0.0015887263698102117
75,2.8966837702968794e-4
76,-1.9859701717909296e-4
77,1.8217866674346671e-4
78,-3.722549933849902e-4
79,-4.750030129756467e-4
80,-5.978285917317765e-4
81,-8.734543587924806e-4
82,0.001247910305127676
83,-0.0013806548090778664
84,-4.094995922845758e-4
85,-7.163824668736617e-4
86,1.3016941376110347e-4
87,8.069015134633685e-5
88,5.768389747745105e-4
89,-1.2010699186312546e-4
90,1.1322998865149445e-5
91,0.0015412375554941197
92,3.385691483167383e-4
93,-3.5542187765275876e-4
94,0.001440722432726974
95,0.001790024467592189
96,4.347184066703119e-4
97,-5.336616111928404e-4
98,3.8856985588227875e-5
99,-0.0014066015486277595
100,-7.919004304668763e-4
101,-6.906453490789342e-4
102,-0.0016719176942242724
103,-2.490662406545811e-4
104,-9.402102383210831e-4
105,6.679903108315358e-4
106,-9.455105260411007e-5
107,-7.896024875046364e-4
108,-2.472271740721834e-4
109,9.461894653974636e-4
110,-5.480375065137101e-4
111,3.0672132515681877e-4
112,-2.4454766614861794e-4
113,0.0010298861438488795
114,-2.475665688689954e-4
115,1.0960077763497554e-4
116,-3.4881486437595484e-4
117,9.486839349920964e-5
118,-8.97751625719151e-4
119,-0.0017195236331991705
120,8.848934928461143e-4
121,5.563984974958358e-4
122,4.775836539237178e-5
123,2.410351994111562e-4
124,-0.0011093559600303285
125,4.535497026349707e-4
126,1.7659039699268286e-4
127,-0.0010699384512907445
128,-1.4393712826345705e-4
129,-2.359963815400608e-4
130,-2.1212949232928127e-5
131,-7.359580454163834e-4
132,9.855675589400526e-4
133,-0.0011707795615690311
134,-4.490298980778951e-4
135,5.397222531126496e-4
136,2.459351146156562e-4
137,3.7416679845144395e-6
138,-5.816215453939682e-4
139,-8.076574970252974e-5
140,-2.429233901528633e-4
141,-3.604869586685273e-4
142,-0.0010888056332999814
143,6.831820120915667e-4
144,-3.242738033161086e-4
145,3.822259030149474e-5
146,-1.556806162990398e-4
147,9.643382945952953e-5
148,-0.001409334440439765
149,-7.821237880745219e-4
150,0.0019076729041706986
151,-2.9493060845058933e-4
152,0.0010523462139549987
153,-6.847619463995033e-5
154,-0.0012621404920490974
155,-7.548895540612213e-5
156,-1.3275688477467268e-4
157,1.8404636619944045e-4
158,3.8760910266179093e-4
